Starting Nmap 7.94SVN ( https://nmap.org ) at 2024-09-22 14:21 EDT
Nmap scan report for 115.243.113.46
Host is up (0.29s latency).

PORT      STATE    SERVICE    VERSION
4550/tcp  open     ftp        Microsoft ftpd
4567/tcp  open     ftp        Microsoft ftpd
4662/tcp  open     ftp        Microsoft ftpd
4848/tcp  open     ftp        Microsoft ftpd
4899/tcp  open     ftp        Microsoft ftpd
4900/tcp  open     ftp        Microsoft ftpd
4998/tcp  open     ftp        Microsoft ftpd
5000/tcp  open     ftp        Microsoft ftpd
5001/tcp  open     ftp        Microsoft ftpd
5002/tcp  open     ftp        Microsoft ftpd
5003/tcp  open     ftp        Microsoft ftpd
5004/tcp  open     ftp        Microsoft ftpd
5009/tcp  open     ftp        Microsoft ftpd
5030/tcp  open     ftp        Microsoft ftpd
5033/tcp  open     ftp        Microsoft ftpd
5050/tcp  open     ftp        Microsoft ftpd
5051/tcp  open     ftp        Microsoft ftpd
5054/tcp  open     ftp        Microsoft ftpd
5060/tcp  open     ftp        Microsoft ftpd
5061/tcp  open     ftp        Microsoft ftpd
5080/tcp  open     ftp        Microsoft ftpd
5087/tcp  open     ftp        Microsoft ftpd
5100/tcp  open     ftp        Microsoft ftpd
5101/tcp  open     ftp        Microsoft ftpd
5102/tcp  open     ftp        Microsoft ftpd
5120/tcp  open     ftp        Microsoft ftpd
5190/tcp  open     ftp        Microsoft ftpd
5200/tcp  open     ftp        Microsoft ftpd
5214/tcp  open     ftp        Microsoft ftpd
5221/tcp  open     ftp        Microsoft ftpd
5222/tcp  open     ftp        Microsoft ftpd
5225/tcp  open     ftp        Microsoft ftpd
5226/tcp  open     ftp        Microsoft ftpd
5269/tcp  open     ftp        Microsoft ftpd
5280/tcp  open     ftp        Microsoft ftpd
5298/tcp  open     ftp        Microsoft ftpd
5357/tcp  open     ftp        Microsoft ftpd
5405/tcp  open     ftp        Microsoft ftpd
5414/tcp  open     ftp        Microsoft ftpd
5431/tcp  filtered park-agent
5432/tcp  open     ftp        Microsoft ftpd
5440/tcp  open     ftp        Microsoft ftpd
5500/tcp  open     ftp        Microsoft ftpd
5510/tcp  open     ftp        Microsoft ftpd
5544/tcp  open     ftp        Microsoft ftpd
5550/tcp  open     ftp        Microsoft ftpd
